,Feature,Importance
75,Idle Max,0.046857842317339166
15,Flow Pkts/s,0.04502260073722523
36,Fwd Pkts/s,0.04360643644596038
61,Subflow Fwd Pkts,0.04145539726876012
1,Flow Duration,0.0376384267755375
19,Flow IAT Min,0.03751498213248525
18,Flow IAT Max,0.03704686416540642
16,Flow IAT Mean,0.036412995866183746
73,Idle Mean,0.035888667843345566
65,Init Fwd Win Byts,0.03519190976061328
14,Flow Byts/s,0.03432830810160538
76,Idle Min,0.033948670467072194
37,Bwd Pkts/s,0.032549414027543105
66,Init Bwd Win Byts,0.02098224153630358
23,Fwd IAT Max,0.0197302291793642
20,Fwd IAT Tot,0.01903835364051302
24,Fwd IAT Min,0.018240072348576337
21,Fwd IAT Mean,0.018191345746185618
68,Fwd Seg Size Min,0.017988236156694603
11,Bwd Pkt Len Min,0.017510036950471097
52,Pkt Size Avg,0.016549841459182632
64,Subflow Bwd Byts,0.015906788862091504
12,Bwd Pkt Len Mean,0.015286533427108643
54,Bwd Seg Size Avg,0.014206261708042305
39,Pkt Len Max,0.014186285668230679
41,Pkt Len Std,0.014179052049590522
40,Pkt Len Mean,0.013892524436934088
10,Bwd Pkt Len Max,0.013633898265259984
53,Fwd Seg Size Avg,0.012884280986731493
62,Subflow Fwd Byts,0.012603963331336425
42,Pkt Len Var,0.012277339578526145
6,Fwd Pkt Len Max,0.011867565292594933
8,Fwd Pkt Len Mean,0.011726476610417827
43,FIN Flag Cnt,0.011570962766337258
0,Protocol,0.011138822638265258
67,Fwd Act Data Pkts,0.010743831555679437
38,Pkt Len Min,0.010685149776523774
5,TotLen Bwd Pkts,0.010588180385623768
51,Down/Up Ratio,0.009893149539921854
7,Fwd Pkt Len Min,0.009481580847711715
34,Fwd Header Len,0.008875895007623313
4,TotLen Fwd Pkts,0.008328673106517786
74,Idle Std,0.008053498091835304
17,Flow IAT Std,0.007127413345802862
25,Bwd IAT Tot,0.006857678546408518
47,ACK Flag Cnt,0.0062088373937415975
3,Tot Bwd Pkts,0.0061297106015402655
28,Bwd IAT Max,0.005973096376199461
44,SYN Flag Cnt,0.005929963513100877
35,Bwd Header Len,0.005677849010280171
2,Tot Fwd Pkts,0.005620633673261127
22,Fwd IAT Std,0.005478008686233355
9,Fwd Pkt Len Std,0.004839576463965002
30,Fwd PSH Flags,0.004611618091349342
26,Bwd IAT Mean,0.004551990416533877
29,Bwd IAT Min,0.004019619399588992
13,Bwd Pkt Len Std,0.0038025477190288654
46,PSH Flag Cnt,0.003678392698719952
27,Bwd IAT Std,0.003615015578171359
59,Bwd Pkts/b Avg,0.00290328804282859
45,RST Flag Cnt,0.002696252573944951
60,Bwd Blk Rate Avg,0.0025749210100284143
